epsilon_progress,nfe
0,0
41,100
332,1100
370,2100
370,3100
370,4100
370,5100
370,6100
370,7100
370,8100
370,9100
370,10100
370,11100
370,12100
370,13100
370,14100
370,15100
370,16100
370,17100
370,18100
370,19100
370,20100
370,21100
370,22100
370,23100
370,24100
370,25100
370,26100
370,27100
370,28100
370,29100
370,30100
370,31100
370,32100
370,33100
370,34100
370,35100
370,36100
370,37100
370,38100
370,39100
370,40100
370,41100
370,42100
370,43100
370,44100
370,45100
370,46100
370,47100
370,48100
370,49100
370,50100
370,51100
370,52100
370,53100
370,54100
370,55100
370,56100
370,57100
370,58100
370,59100
370,60100
370,61100
370,62100
370,63100
370,64100
370,65100
370,66100
370,67100
370,68100
370,69100
370,70100
370,71100
370,72100
370,73100
370,74100
370,75100
370,76100
370,77100
370,78100
370,79100
370,80100
370,81100
370,82100
370,83100
370,84100
370,85100
370,86100
370,87100
370,88100
370,89100
370,90100
370,91100
370,92100
370,93100
370,94100
370,95100
370,96100
370,97100
370,98100
370,99100
370,100009
