z_0_RfR_0,z_0_RfR_1,z_0_RfR_2,z_1_RfR_0,z_1_RfR_1,z_1_RfR_2,z_2_RfR_0,z_2_RfR_1,z_2_RfR_2,z_3_RfR_0,z_3_RfR_1,z_3_RfR_2,z_4_RfR_0,z_4_RfR_1,z_4_RfR_2,z_EWS_DaysToThreat,z_Az1_DikeIncrease_0,z_Az1_DikeIncrease_1,z_Az1_DikeIncrease_2,z_Az2_DikeIncrease_0,z_Az2_DikeIncrease_1,z_Az2_DikeIncrease_2,z_Az3_DikeIncrease_0,z_Az3_DikeIncrease_1,z_Az3_DikeIncrease_2,z_Az4_DikeIncrease_0,z_Az4_DikeIncrease_1,z_Az4_DikeIncrease_2,z_Az5_DikeIncrease_0,z_Az5_DikeIncrease_1,z_Az5_DikeIncrease_2,z_Az4_Total_Costs,z_Az4_Dike_Investment_Costs,z_Az4_Expected_Annual_Damage,z_Az4_Expected_Number_of_Deaths,z_Az5_Total_Costs,z_Az5_Dike_Investment_Costs,z_Az5_Expected_Annual_Damage,z_Az5_Expected_Number_of_Deaths,z_RfR_Total_Costs,z_Expected_Evacuation_Costs
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,10,0,8,6,9,1,4,1,3,1,10,4,5,6,2,41955700.76940283,41432145.65564127,523555.11376156536,0.0004642949941531,368736705.76979554,124227868.29395393,244508837.47584164,0.2866249363611332,504600000.0,0.0
1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,4,5,6,10,0,2,9,0,6,1,1,2,6,4,8,21222871.301218856,20699316.18745729,523555.11376156536,0.0001671461978951,334597547.6375004,148923002.93082625,185674544.70667416,0.0769444732791352,571300000.0,7495.121679393709
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,5,10,6,2,3,7,6,2,5,4,2,10,5,31985094.07167237,31436225.70780864,548868.3638637343,7.464990178839675e-05,410875645.8029668,144689217.6625127,266186428.14045417,0.0503287025135794,363800000.0,21359.29947839852
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,6,7,0,6,3,6,0,9,4,0,9,5,5,5,10,33566513.03992497,33121261.295656584,445251.74426839006,4.332791152392e-05,296709980.6652691,161471684.02738547,135238296.6378836,0.019354731985904,236500000.0,12885.02482138347
0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,3,9,0,5,8,10,7,10,2,4,1,9,4,9,3,38388541.24022267,38388541.24022267,0.0,0.0,277131164.5166818,141108050.91768646,136023113.5989953,0.0631324665476189,469400000.0,6640.935990079491
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,3,7,7,6,2,3,3,4,7,8,9,6,3,7,4,62131454.66322658,62131454.66322658,0.0,0.0,243762848.75442767,125937902.45636173,117824946.29806596,0.0171829377365862,303800000.0,11916.833012508216
0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,3,5,10,3,1,10,5,4,0,8,5,1,5,10,2,9,32086954.447517466,32086954.447517466,0.0,0.0,176258666.07324398,176258666.07324398,0.0,0.0,388400000.0,601.9085413398769
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,9,2,4,9,3,1,9,4,0,0,6,9,4,7,6,35281415.82545791,34783173.96179851,498241.8636593962,6.463859645754228e-05,411065834.8886612,142210150.87851104,268855684.0101501,0.0492501482840986,542900000.0,20471.272748791696
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,2,5,9,1,8,8,4,3,6,0,8,4,35288533.576204896,35288533.576204896,0.0,0.0,375715130.0641732,92134101.91956422,283581028.14460903,0.1100999488993114,461900000.0,12715.223933540685
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,8,10,6,3,10,3,6,6,8,0,9,9,0,6,39848512.1960751,39848512.1960751,0.0,0.0,220309920.1182436,107608403.84178664,112701516.27645697,0.0123902812109796,425300000.0,7232.412117733784
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,7,3,0,9,3,10,6,5,9,10,6,8,8,10,2,65573808.29715143,65573808.29715143,0.0,0.0,190469973.4421645,175074214.63535812,15395758.806806386,0.0207349184964809,273100000.0,0.0
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2,10,8,2,1,10,7,10,4,3,2,5,4,8,9,29656749.941971824,29656749.941971824,0.0,0.0,404592316.6448458,168303079.6125885,236289237.0322573,0.3045256191131713,535300000.0,0.0
1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,3,4,6,5,4,8,3,10,8,6,1,10,1,10,3,0,36548870.83523232,36548870.83523232,0.0,0.0,104448100.43731196,100648702.62958768,3799397.80772426,0.0006285647095399,557600000.0,358.8013407267497
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,6,4,3,9,6,0,2,5,3,4,6,6,6,3,2,41704940.58229576,41704940.58229576,0.0,0.0,186320214.4817788,114720639.82105856,71599574.66072023,0.0260393992502061,498500000.0,2661.68148317045
